musteri,borc,gelir,statu,risk
1,yüksek,yüksek,işveren,kötü
2,yüksek,yüksek,ücretli,kötü
3,yüksek,düşük,ücretli,kötü
4,düşük,düşük,ücretli,iyi
5,düşük,düşük,işveren,kötü
6,düşük,yüksek,işveren,iyi
7,düşük,yüksek,ücretli,iyi
8,düşük,düşük,ücretli,iyi
9,düşük,düşük,işveren,kötü
10,düşük,yüksek,işveren,iyi
11,yüksek,yüksek,ücretli,kötü
12,düşük,yüksek,ücretli,kötü
13,düşük,yüksek,ücretli,kötü
14,yüksek,düşük,ücretli,iyi
15,düşük,düşük,ücretli,kötü
16,düşük,düşük,ücretli,kötü
17,düşük,düşük,işveren,kötü
18,düşük,düşük,işveren,kötü
19,düşük,düşük,işveren,kötü
20,düşük,düşük,işveren,iyi
21,düşük,yüksek,ücretli,iyi
22,düşük,yüksek,işveren,iyi
23,yüksek,yüksek,işveren,iyi
24,yüksek,yüksek,işveren,kötü
25,yüksek,yüksek,ücretli,iyi
26,düşük,düşük,ücretli,iyi
27,düşük,yüksek,ücretli,iyi
28,düşük,düşük,işveren,kötü
29,yüksek,yüksek,ücretli,kötü
30,düşük,düşük,ücretli,kötü
31,yüksek,düşük,işveren,kötü
32,yüksek,düşük,işveren,kötü
33,yüksek,düşük,işveren,iyi
34,yüksek,düşük,ücretli,iyi
35,düşük,yüksek,ücretli,iyi
36,düşük,yüksek,ücretli,iyi
37,düşük,yüksek,ücretli,kötü
38,düşük,yüksek,ücretli,kötü
39,düşük,yüksek,ücretli,kötü
40,yüksek,yüksek,ücretli,iyi
41,yüksek,düşük,ücretli,iyi
42,yüksek,düşük,ücretli,iyi
43,yüksek,düşük,ücretli,iyi
44,düşük,düşük,ücretli,iyi
45,yüksek,yüksek,işveren,iyi